"ID","Station Name","River Basin","County","Longitude","Latitude","ElevationFeet","Operator","Map"
"3LK","THREE LAKES","FEATHER R","PLUMAS","-121.213000","39.973000","6,250","Pacific Gas and Electric Company, Rogers Flat",""
"49M","49 MOUNTAIN","SURPRISE VALLEY","MODOC","-119.867000","41.525000","6,000","Natural Resources Conservation Service",""
"7UP","SEVEN UP","TRINITY R","TRINITY","-122.883000","40.958000","7,400",".None Specified",""
"ABN","LAKE AUDRAIN","AMERICAN R","EL DORADO","-120.037000","38.820000","7,300","Placerville Ranger District",""
"ABY","ABBEY","FEATHER R","PLUMAS","-120.538000","39.955000","5,650","CA Dept of Water Resources/Beckwourth",""
"ADI","ADIN MOUNTAIN","PIT R","MODOC","-120.793000","41.237000","6,200","Big Valley Ranger District",""
"ADM","ADIN MOUNTAIN","PIT R","MODOC","-120.792000","41.237000","6,200","Natural Resources Conservation Service",""
"AGP","AGNEW PASS","SAN JOAQUIN R","MADERA","-119.141730","37.726630","9,450","CA Dept of Water Resources/Flood Management",""
"ALI","LAKE ALPINE","STANISLAUS R","ALPINE","-120.013000","38.480000","7,550",".None Specified",""
"ALP","ALPHA (SMUD)","AMERICAN R","EL DORADO","-120.215652","38.804192","7,600","Sacramento Municipal Utility District",""
"ANR","ANTELOPE RIDGE","FEATHER R","PLUMAS","-120.542000","40.155000","5,650","CA Dept of Water Resources/Beckwourth",""
"APH","ALPHA","AMERICAN R","EL DORADO","-120.215645","38.804138","7,600","CA Dept of Water Resources",""
"ASH","ASH CREEK","MC CLOUD R","SISKIYOU","-122.050000","41.400000","5,000","McCloud Ranger District",""
"ATP","ANTHONY PEAK","STONY CR","TEHAMA","-122.950000","39.842000","6,200","Covelo Ranger District",""
"ATS","ANTELOPE SPRINGS","MOKELUMNE R","AMADOR","-120.467000","38.503000","4,350","Amador Ranger District",""
"BBS","BEAR BASIN","TRINITY R","TRINITY","-122.867000","40.967000","6,500","Weaverville Ranger District",""
"BC2","BOCA 2","TRUCKEE R","NEVADA","-120.092000","39.375000","5,900",".None Specified",""
"BCB","BLACKCAP BASIN","KINGS R","FRESNO","-118.773010","37.066680","10,300","CA Dept of Water Resources/Snow Surveys",""
"BCH","BEACH MEADOWS","KERN R","TULARE","-118.293457","36.126095","7,650","CA Dept of Water Resources/Snow Surveys",""
"BCP","BROWNS CAMP","FEATHER R","PLUMAS","-121.257000","39.900000","5,400","Pacific Gas and Electric Company, Rogers Flat",""
"BCY","BUCKEYE ROUGHS","WALKER R","MONO","-119.442000","38.188000","7,900",".None Specified",""
"BDF","BADGER FLAT","SAN JOAQUIN R","FRESNO","-119.108000","37.265000","8,300","Southern California Edison Company, Big Creek",""
"BEG","BEAR RIDGE","KINGS R","FRESNO","-119.087000","37.037000","7,400",".None Specified",""
"BEM","BELL MEADOW","TUOLUMNE R","TUOLUMNE","-119.942000","38.167000","6,500","Summit Ranger District",""
"BFL","BIG FLAT","TRINITY R","TRINITY","-122.942000","41.080000","5,100","US Bureau of Reclamation",""
"BFT","BIG FLAT (COURSE)","TRINITY R","TRINITY","-122.938000","41.077000","5,100","Weaverville Ranger District",""
"BGH","BIGHORN PLATEAU","KERN R","TULARE","-118.377000","36.615000","11,350","CA Dept of Water Resources",""
"BGM","BIG MEADOW","STANISLAUS R","CALAVERAS","-120.113000","38.417000","6,550",".None Specified",""
"BGP","BIG PINE CREEK","OWENS R","INYO","-118.476970","37.127820","9,800","CA Dept of Water Resources/Snow Surveys",""
"BHM","BEACH MEADOWS","KERN R","TULARE","-118.293000","36.122000","7,650","Kern River Ranger District",""
"BHV","BEEHIVE MEADOW","TUOLUMNE R","TUOLUMNE","-119.780000","37.995000","6,500","Yosemite National Park",""
"BID","MOUNT BIDWELL","SURPRISE VALLEY","MODOC","-120.185000","41.965000","7,200","Natural Resources Conservation Service",""
"BIM","BIG MEADOWS (DWR)","KINGS R","TULARE","-118.843430","36.715366","7,600","CA Dept of Water Resources/Snow Surveys",""
"BIP","BISHOP PARK","OWENS R","INYO","-118.597000","37.238000","8,400",".None Specified",""
"BKH","BUCKHORN","MOJAVE DESERT","LOS ANGELES","-117.918000","34.342000","7,100",".None Specified",""
"BKL","BUCKS LAKE","FEATHER R","PLUMAS","-121.242000","39.850000","5,750","CA Dept of Water Resources/Operations and Maintenance",""
"BKY","BUCKEYE FORKS","WALKER R","MONO","-119.483000","38.170000","8,500",".None Specified",""
"BLA","BLACKS MOUNTAIN","PIT R","LASSEN","-121.199722","40.769836","7,050","CA Dept of Water Resources/Snow Surveys",""
"BLC","BLUE CANYON","AMERICAN R","PLACER","-120.708710","39.280110","5,280","US Bureau of Reclamation",""
"BLD","BLOODS CREEK","STANISLAUS R","ALPINE","-120.033000","38.450000","7,200","US Bureau of Reclamation",""
"BLF","BULLFROG LAKE","KINGS R","FRESNO","-118.398000","36.770000","10,650","CA Dept of Water Resources",""
"BLK","BLUE LAKES","MOKELUMNE R","ALPINE","-119.931000","38.613000","8,000","Natural Resources Conservation Service",""
"BLS","BLACK SPRINGS","STANISLAUS R","CALAVERAS","-120.192000","38.375000","6,500","US Bureau of Reclamation",""
"BLU","BLUE LAKE RANCH","PIT R","LASSEN","-120.250000","41.150000","6,800","Warner Mountain Ranger District",""
"BMD","BEARD MEADOW","KINGS R","FRESNO","-118.837000","37.113000","9,800","Pacific Gas and Electric Company, Auberry",""
"BMN","BLACKS MOUNTAIN","PIT R","LASSEN","-121.195000","40.762000","6,700","Hat Creek Ranger District",""
"BMS","BIG MEADOWS","KINGS R","TULARE","-118.842000","36.715000","7,600","Kings River Water Association",""
"BMW","BIG MEADOWS (SCS)","TRUCKEE R","State of Nevada","-119.946000","39.458000","8,700","Natural Resources Conservation Service",""
"BNH","BENCH LAKE","KINGS R","FRESNO","-118.445000","36.958000","10,600","Kings River Water Association",""
"BNK","BONANZA KING","TRINITY R","TRINITY","-122.628000","41.083000","6,450","US Bureau of Reclamation",""
"BNM","BONITA MEADOWS","KERN R","TULARE","-118.328000","36.038000","8,300","Kern River Ranger District",""
"BNP","BOND PASS","TUOLUMNE R","TUOLUMNE","-119.623000","38.178000","9,300","Summit Ranger District",""
"BNS","BURNEY SPRINGS","PIT R","SHASTA","-121.617000","40.780000","4,700","Hat Creek Ranger District",""
